Name,Comment,Time,Likes,Reply Count
Lash LaRue,"Ah yes.  The “New Coke”.  One of the most infamous marketing missteps in history.  Don’t screw around with the customers’ brand, folks — it’s THEIR brand, and they won’t forgive you if you screw around with it.",2021-12-24T00:55:15Z,0,0
Fatih Gunes,It was better when Muhtar kent was ceo,2021-12-24T00:50:46Z,0,0
craigenputtock,"Ever since they went ""woke"" Pepsi is a lot better.",2021-12-24T00:12:39Z,0,1
Keyshawn Scott 12,Coke still at the top don't let their wokeness stop you from enjoying coke,2021-12-24T00:40:18Z,0,
Tinker Bell,"We’re I work Pepsi is always being restocked but coke cola is never empty,& I’m glad. You support gangs blm & antifa,you do for people in other countries but nothing I see for your own country. I wonder what would happen if ppl  created a WLM ? But they would be called raciest. When people stop th violence & stop using any color to be greater than another it will never end.they are th ones that’s racist & should be ashamed of there selfs, because of people lik yu & blm antifa this country will always be at war with each other.God made us all,when we all change & become color blind then & only then will this country become great",2021-12-23T12:56:50Z,0,0
Shadow Heart,"5:24 I am surprised to learn that half of American adults drink a sugar sweetened beverage a day. Maybe once a week, but per day seems like a lot.",2021-12-23T02:17:36Z,0,0
Anh-Tu Phuc-Hoang / Derrick.,is Islam really immune from sugar?,2021-12-16T15:02:10Z,0,0
Dylan Timoff,Coca Cola has been one of those companies that has never lost market share.,2021-12-16T00:33:52Z,0,0
RedShipsofSpainAgain,"Hey Coca-Cola, you are being phased out.
You're being canceled.  
You are no longer relevant in the 21st century:  people's health has suffered directly from the effects of your sugary drinks, from the rampant prevalence of diabetes and ensuing heart disease to the gargantuan and expensive dental costs resulting from cavities among your customers. 

Coca-Cola:  you've done enough damage to society.  
Go die.  
By boycotting your beverages we are actively working to expedite your inevitable bankruptcy and make you pay for all thr health damage you've inflicted upon society. 

Good riddance.",2021-12-15T19:20:29Z,2,0
tony Blair,I prefer Sprite over coke.,2021-12-12T07:50:29Z,0,0
James Kim,Coke > Pepsi - that's why.,2021-12-10T23:00:31Z,0,0
A CK,why they not use that tax money build affordable blocks for living?,2021-12-07T02:27:40Z,0,0
UNKNOWN,Who ever complain about the coco leaves you mama a hooooe,2021-12-03T20:32:00Z,0,0
whatever,"Hi coke, how are your employees doing trying to be ""less white'   really how is that going.  Is their more crime at the office now. ?0",2021-11-30T17:52:44Z,0,0
Logbia7k,Pepsi and Dr Pepper are 200% better and tastier than coca cola.,2021-11-29T12:09:10Z,0,1
Gencturk92,"no their not, well pepsi is still good but nothing beats coca cola, if anything red bull comes close",2021-12-03T18:26:25Z,0,
Jorge Valente,COKE IS BETTER THAN PEPSI COKE PAYS MORE THAN PEPSI,2021-11-28T07:58:14Z,0,1
Gencturk92,coke and red bull is up there,2021-12-03T18:26:38Z,0,
FLOW,Haha missed out on the coke stock rise in November,2021-11-27T18:20:36Z,0,0
Ricky B.F,Atlanta stand up !!!,2021-11-26T12:14:15Z,0,0
Tyree Cruz,Femsa to fanta independent,2021-11-25T15:27:33Z,0,0
Vie Williams,"coke is no longer delicious now, there is a difference in the taste, I didn't expect the taste of the old coke",2021-11-24T06:36:54Z,1,1
Gencturk92,"Its still good I cant remember how it tasted before, the glass bottles are definitely good though",2021-12-03T18:27:54Z,0,
avarmauk,I only drink one liquid. Water,2021-11-24T06:16:51Z,0,0
Deshawn Ace,I WILL INVEST IN SOME OF DAT COCAINE MY GUY,2021-11-23T19:12:10Z,0,0
Deshawn Ace,I will now invest in coke,2021-11-23T19:11:15Z,0,0
Patricia Osas,🏬💴🎄🏜️🌴🌻💩,2021-11-22T22:27:53Z,0,0
Patricia Osas,O.pat,2021-11-22T22:26:12Z,0,0
JasonPopcorn,Fucc Coca Cola,2021-11-22T16:32:48Z,0,0
Dan Dwayne Brown,I thought Coke was stolen from a Spanish guy… always stealing…,2021-11-21T23:34:50Z,0,0
H T,"https://youtu.be/SthcSohSCVs
Coca-cola👎👎👎",2021-11-20T09:32:40Z,0,0
Ahmed Shahab,So Coke started as another snake oil basically?,2021-11-19T06:40:30Z,0,0
Darlington Olelewe,Just drink water,2021-11-17T14:18:54Z,0,0
CosmicValkyrie,I drink lemonade. It's better.,2021-11-17T12:04:38Z,0,0
logan13wick,Saying coke is at fault for people not recycling is like saying colt is at fault for people shooting people or Ford is at fault for people wrecking their cars. These companies can’t control what their customers do with their products.,2021-11-16T23:57:11Z,0,0
Wesley Murray,This video is exceptionally done!!,2021-11-16T21:43:46Z,0,0
Paul Garrioch,You mean aside from them telling the workers to be “ less white “,2021-11-16T15:32:53Z,0,0
Incalvideo,"Everyone loves Coke, thats why",2021-11-16T15:08:28Z,0,0
Essence of Canada,I wonder how any of the pollution of plastic and water usage may have any affect on Coca-Cola's stock,2021-11-16T06:20:08Z,0,0
Me P,Well 90% market is in Mexico,2021-11-16T05:15:20Z,0,0
Steven Best,"Coke still leads because it's the best and yes, it's good for you.",2021-11-16T00:02:19Z,0,1
Gencturk92,indeed but now red bull is succeeding,2021-12-03T18:36:51Z,0,
Michael Williams,"I haven't drink a Coke in 4 years. And happy to say that, that includes any Coke product",2021-11-15T18:10:50Z,0,0
TheSmartLawyer,Communist News Broadcasting Corporation,2021-11-15T15:21:10Z,0,0
Andrew Chen,I like Pepsi,2021-11-15T13:34:16Z,0,0
2020,"i wonder if they will one day sell original recipe coke again  , sure to be a big seller",2021-11-15T11:23:15Z,0,0
A. H.,Never liked coca cola,2021-11-15T09:46:06Z,0,0
william smith,"To blame a company for trash in the sea is nonsenses, lets look at the people that don't recycle.",2021-11-15T06:46:16Z,0,0
GT,I love Coca Cola! My go to drink. I would like to purchase a Coca cola freestyle machine,2021-11-15T00:17:55Z,0,0
Mo Vo,"People love the color red, before that, coke, sniff sniff",2021-11-14T23:30:41Z,0,0
WhyNot,Listen to ronaldo and drink water.,2021-11-14T21:54:32Z,0,0
Blood of Jesus,🕊✝️👉https://youtu.be/lbb4xwYj19g🙏,2021-11-13T20:17:53Z,1,0
K Singh,"Go woke, go broke",2021-11-13T20:08:53Z,0,0
Jay Gigidy,"The title should be ""why Coca-Cola still dominates the outbreak of diabetes and obesity epidemic?""",2021-11-13T18:46:33Z,0,0
waynereardon,"Coke is the best drink in the World. I live in Australia and we still use sugar cane instead of the terrible high fructose corn syrup they use in the US. That's one reason sales have died in the US. It literally makes me sick when I drink it over there. Another reason is the bastardisation of the brand. Instead of coming up with new names for new products, they just call it Coke-something. Every time there is another failed Coke product, of which there have been many, it dilutes the brand a little more. On top of that, their sales force has disappeared. We used to have the Coke reps coming into our pub once a week until the 90s, but are lucky to see them once every 3 months now and they never have any coasters or other merch. Try and find an independent fast food store that sells Coke these days. It's getting harder and harder, because the Pepsi reps have signed exclusive deals with most of them. They also need to go back to doing deliveries, instead of using supermarkets as their distributors.",2021-11-13T17:08:53Z,0,0
n0peeex,"In my country, Coca-Cola is the single player. People says every soda ""coca"".",2021-11-13T11:38:43Z,0,0
Rick Terscale,Coke No Sugar is the best!! Tastes so much better than Coke Zero.,2021-11-12T12:25:13Z,0,0
David Mendez,Why is this a relevant product? It's mainly poison...,2021-11-12T05:51:51Z,0,0
samantha carpenter,"You know, when people start talking about how they’re doing great unprompted, it’s usually a sign that they are in fact not doing great. Coke, is there something you need to talk about?",2021-11-12T05:13:46Z,2,0
Solo,i love coke,2021-11-12T03:23:03Z,0,0
Jung Kim,I really enjoy 7up zero these days very crisp and refreshing 👍,2021-11-11T20:55:27Z,0,0
Rafał Jastrzębski,"i stopped drinking cola, a year ago.  never buy it again",2021-11-11T20:05:36Z,0,0
sranjesuper,"As a kid, i used to consume a lot of Coca Cola. My parents didn't know better. I had bad teeth, and i didn't grow that tall because i also didn't drink enough milk either. Now that i am older, i have significantly cut down on my sugar consumption and especially coke. I drink a lot more water now, and take good vitamin supplements. I feel much more healthy now and don't get sick as often either. This stuff is terrible for your health, like a drug that destroys your body, except it does it a lot slower than something like meth. But it literally destroys your body. 

I know i'm not talking crap, because there is even a documentary about a town in Mexico which has the highest consumption of Coke, and also health problems. Look it up on youtube. Type in Mexico coca cola problem. 

What makes Coke go around, is the governments agenda to keep you sick and diseased. Coca Cola products should come with a similar sticker as they put on Cigarettes. Except it should read "" toxic """,2021-11-11T18:14:23Z,1,0
Jr15642,"Why?... this is why:

https://youtu.be/hqnUohxXV0I",2021-11-11T15:09:21Z,0,0
Ralf Khoo,their taste keep getting worst. it taste so different from what it used to be,2021-11-11T08:11:02Z,0,0
Manu Aves,"Ever since I got parosmia from Covid, coca cola never tasted the same for me. (Or any cola for that matter).",2021-11-11T04:05:55Z,0,0
Daniel Darabos,Battery Acid ?,2021-11-10T18:14:57Z,0,0
Jacob Franklin,It tastes better,2021-11-10T11:36:58Z,0,0
humor,"I really liked the taste of coke life, the green color cans. I really hope they bring it back sometime soon.",2021-11-10T08:55:21Z,2,0
B F,I feel privileged. When open the tap I can drink clean water. Don't need to buy bottled water nor sugary beverages. Life is beautiful,2021-11-10T07:15:08Z,0,1
Sumkinda cheeto,That's no privilege. It's necessity goddamnit.,2021-11-12T14:38:19Z,0,
James Dickens,"I wish Coca-Cola would come up with a vaccine - I'd trust their vaccine over Johnson & Johnson, Phizer, or Moderna.",2021-11-10T03:36:32Z,0,0
Alireza Ghorbanzadeh,Because Warren keeps buying the stocksss!,2021-11-10T03:22:31Z,0,0
Whats In a name,Sugar drink companies have caused more damage and death than covid will ever reach.,2021-11-09T23:46:29Z,0,0
Rick Gerson,Haven’t had a Coke product in years so I tried a Body Armor drink since it was low sugar it wasn’t bad but the machine short changed me a dollar.  Great business plan Coke.,2021-11-09T21:21:32Z,4,0
Jay Jay!,I drink cokezero loved it in 2014 picked it up again after loosing 130 pounds +,2021-11-09T18:38:31Z,0,1
Jay Jay!,Last year,2021-11-09T18:38:40Z,0,
P Dota,it just tastes better ….,2021-11-09T17:05:38Z,0,0
big-eye101,"Now hang on just a second there! Coke started out as snake oil? Let me get this straight, someone made this syrup drink, making lavish claims that it's a cure all medicine, and from there, it made it to be one of the biggest beverage producer on the planet? How does one go from selling BS to this? :S",2021-11-09T13:13:42Z,0,0
Arnav Aggarwal,33% of Coca Cola’s total revenue comes from US! That’s just insane. No wonder obesity is such a huge problem in US.,2021-11-09T01:19:26Z,1,0
Brendon Hope,The CEO of coke is a Brummie?,2021-11-08T11:04:40Z,0,0
aksels Jurgens,"I'm too busy being less white.
Why did Youtube recommend this to me?",2021-11-08T07:19:25Z,0,0
Ronald FlobJobbin,Can't seem to operate without a nice cold coke zero.,2021-11-08T05:49:51Z,1,0
QueenQutie,"Original taste.....um no
The sugar substitute they use in coke no sugar is also used in the regular coke. That causes upset stomachs causing people to vomit.",2021-11-07T15:06:32Z,0,0
Barry Maaslow,"Why were you hired?! Your cadence, enunciation, and emPHASis are all gratingly bad... I'll say nothing of the poorly written script...",2021-11-07T07:14:51Z,0,0
Sue Chun,"Coke needs to change back to real sugar which is better for you than fructose corn you use today...that is the real reason it tasted better when we were younger it really did. They do it for Mexico but, not for the USA profits.",2021-11-07T03:40:36Z,1,0
Tewthpaste,*coke all day.*,2021-11-07T01:15:25Z,1,0
CRAZY WORLD,I thought Pepsi is bigger than Coca-Cola!,2021-11-07T00:47:11Z,0,0
Dun,I liked the Cocaine Coca-Cola more.,2021-11-06T14:41:16Z,0,0
Janus Bevins,I was very disappointed in coke to start putting high fructose corn syrup in it. It’s not safe. I love coke but unless I can get it with real sugar I won’t buy or drink it.,2021-11-06T13:24:56Z,0,0
So Vo,"2:20 ""extract from coca leaves"" does not equal cocaine. Unfortunately the belief of being such a simple process still casts a shadow over consumption of coca in south America, which is harmless. You'd need a very specific chemical process to produce cocaine from coca leaves. Edit: I just double checked: to this day Coca-Cola still uses extract of coca leaves as an ingredient, of course that doesn't mean it contains cocaine.",2021-11-05T23:43:52Z,0,0
James Bailey,"Coca-Cola has a cute trick it plays with a government-funded program to maintain its profits.  Rather than use real sugar, it uses fructose which is corn syrup made with corn enabled by government corn subsides.  the syrup is cheaper than sugar so it's used to raise the corporation's profits.  That explains why Coke in other countries tastes better than American Coke.",2021-11-05T20:31:20Z,0,0
Jacob Mcallister,I swear if they make new coke again I’ll personally sock each person that was in the meeting that decided to do that,2021-11-05T04:40:33Z,0,0
fauche1980,Until people go back to basics: tap water (where drinkable) nothing will change,2021-11-04T11:59:15Z,0,0
Venkat Shastry,We use Coke to clean toilets in our country. It's cheaper than the toilet cleaner.,2021-11-04T09:47:40Z,0,0
Jesus is coming. Read the Gospel.,"Repent to Jesus Christ!
“The law of the Lord is perfect, refreshing the soul. The statutes of the Lord are trustworthy, making wise the simple.”
‭‭Psalms‬ ‭19:7‬ ‭NIV‬‬",2021-11-04T07:50:34Z,0,0
THE BUDDHA 420,Where is the Mexican Coke bring it back,2021-11-04T07:38:02Z,0,0
Wilson Nguyen,1:44 Poor Coca-Cola who didn’t pay their fair share in taxes during the Trump era. Not to mention day funded trumps election.  These Crooks better pay their full taxes skip on for 4 years,2021-11-04T06:06:32Z,0,0
TruckerLee,Let me guess opioids,2021-11-04T05:51:22Z,0,0
Justin Fencsak,Coke is it,2021-11-04T01:43:09Z,0,0
absalom mahlangu,"More drugs in coke, only way it can survive",2021-11-03T18:16:26Z,0,0
djb570,"Coca cola is poison.  Drank for years, now my skin is disgusting.  They made bank on you and now are controlling you.  I will not drink anything made by a soda company. Monsanto Amazon, nestle or any other ultra rich company. NOT EVEN WATER.  Look at people's skin, it isn't DNA, it is soda, people are fat, sick, and dying.  If you make it to 50 your skin will look like it is falling off.  Don't even drink their water. They are all controlling us now.  Follow the cash.  Disgusting company.  Small local companies people.",2021-11-03T12:33:37Z,0,0
Gothic Raider,Coca-Cola will be America’s favorite drink for over 135 years and still drinking trillions of gallons of the delicious brown legal stuff.,2021-11-03T01:19:29Z,0,0
Brant Trujillo,Just drink water bro,2021-11-02T11:58:46Z,0,0
Moïse Picard,🇭🇹🇭🇹🇭🇹🇭🇹🇫🇷🇫🇷🇫🇷🇫🇷,2021-11-02T10:02:51Z,1,0
__droneaacharya,"containing that much sugar which is 8 times more addicting than coke, its not surprising",2021-11-01T16:56:24Z,0,0
Ali,2:08,2021-11-01T10:35:40Z,0,0
George Lambrakopoulos,The video does everything but explaining why Coke is still dominating the market. Get to the point you guys,2021-10-31T23:27:15Z,0,0
elle mays,"The nice city mathematically clear because pamphlet endoscopically report during a able lip. abrasive, tranquil heaven",2021-10-30T22:35:57Z,0,0
eilois,"smaller coke bottle mean more fresh soda. Once you open a big 1.5L or bigger bottle, it carbonated less by day or three",2021-10-29T05:35:43Z,0,0
Oliver Williams,I drink Pepsi. Can you make one on how Pepsi is changing.?,2021-10-29T03:30:16Z,0,0
Ned Diego,"It's not the problem with Coca Cola. It's the people who can't control their mouths. If you drink small amounts that's fine. In 20th Century people used more physical effort doing day to day work. Nowadays people stay in front of TV,l & Computers most of the time & easily get diseases like diabetes.",2021-10-28T10:33:20Z,1,0
Tay,"It's really a shame that soda (Coke and Pepsi specifically) taste weird after contracting COVID. Dr. Pepper still is good, though!",2021-10-28T01:30:05Z,0,1
rustin pierce,Try stubborn vanilla cream soda it's better than Dr . peppers.,2021-10-29T15:11:03Z,0,
Robertpaws,:( i loved tab,2021-10-27T20:21:58Z,0,0
bobby munyavi,The quality of Coke varies so much across boarders. They should look into that,2021-10-27T16:50:57Z,1,0
Luis Barvalopez,"Correct me if i'm wrong, but coca leaves is not the same as cocaine.",2021-10-24T15:36:45Z,0,0
AlexOne,"If there is a pizza on any table of the world, you can be sure there is atleast 1 glass of coca cola too.",2021-10-23T22:44:55Z,1,0
Samuel Anketell,Coke tastes better in glass bottles,2021-10-23T04:16:16Z,0,0
Gadavillers Panoir,I'm addicted to coke... and coca cola.,2021-10-22T06:19:07Z,0,0
Ineke,I'm a avid Coca Cola drinker.....cans only though. Never ever a plastic bottle. I refuse to drink Pepsi also. In fact I'm drinking a coke while watching this. I'm going to start stocking up in case of a shortage now!,2021-10-21T22:11:40Z,0,0
Hot Toymania,I stopped drinking soda one year ago. It was the best thing I ever did.  Dropped 30 lbs immediately and no longer prediabetic.,2021-10-20T22:57:09Z,1,0
Juan Caballero,Thats the way it is en México it's un glass and You take it back it better un glass and real suger,2021-10-19T10:53:22Z,1,0
Juan Caballero,Coca-Cola es muy buena pepis is for stupid peoples who no have taste buds,2021-10-19T10:50:55Z,0,0
Richard Nixon,Haven’t bought a drop since they told me to be less white…,2021-10-19T02:10:09Z,0,0
Pesky,Had a Pepsi ad on this,2021-10-16T15:43:31Z,0,0
Janeen Mayme,"The  fresh plow respectively intend because judo particularly listen pace a impartial facilities. tense, handsome circle",2021-10-15T20:01:17Z,0,0
Shey Bamenjo Godfather,I know a man who drank at least 3l of coke a day and we celebrated his 95th birthday this week. He is still healthy and walks on his feet,2021-10-15T12:44:19Z,0,0
Gobewon T,"YOU KNOW COCA COLA IS A KING BEVERAGE FOR THE WORLD 10110...
BUT WHAT COMPLIMENTS THAT?
THERE IS DNA IN ARTIC ORANGE...AND THE 330ML CAN WEIGHS 360gm...A PERFECT DENSITY OF ONE DIRECT FROM CHINA...
AND DONT FORGET
AN OPENING IS BETTER THAN A CLOSING",2021-10-15T03:47:24Z,0,0
Hoang Nguyen van,Tap doan ho Phai bo ta moi mot nam la hon mot ti USD tra tien quang ba thuong hieu cua ho (!!!),2021-10-14T12:54:45Z,0,0
Jared Z,Who needs cable when you have the tube,2021-10-14T02:40:30Z,0,0
livethedestroyer,Pepsi is better,2021-10-13T16:39:37Z,0,0
Gobewon T,"THE DIFFERENCE IS BIG YET HAS NOT VIRAL ABOUT THE FOLLOWING...
CAN COCA COLA BE DIFFERENT THAN THE ORIGINAL TASTE FROM BOTTLES?
OMG YES...SO REALLY I CAN THE CANNED VERSION OF THE PRODUCT IN AUSTRALIA...",2021-10-13T14:36:27Z,0,0
J L,"Speaking from experience, beer is the best cure for soda addiction.",2021-10-13T04:23:32Z,1,0
Solaire,we have to rid our bodies of grapine oxide and other attacks on humanity,2021-10-12T06:29:44Z,0,0
Carbon Forms,"Could have been a short video, most people have horrible taste",2021-10-12T03:20:19Z,0,0
MJ ,"Always better in glass. You would never find empty glass bottles in the trash 0% pollution, empty bottles were like gold. Coke should really think this through. Packaging today has become such a curse. Re using rather than recycling is the answer. Can we afford to dump all that garbage into the oceans?",2021-10-10T16:54:12Z,0,0
AndreaLuise Candido,KenT UK ? WE ARE  4 of U.S.,2021-10-10T09:23:33Z,0,0
AndreaLuise Candido,"I have 3 BroThers 

A broTher of me 
AndreaS was born 
on
 26 . OCTOBER 
                     19 67 am born as girL
        on 28. APRIL 
                    19 66",2021-10-10T08:30:13Z,0,0
AndreaLuise Candido,"Coke was founder
  onehundredThirty five years ago
   
very old Business CenTer 
         in 
     U.S.A my Grandma Aana was
                       born
            
                     6 JuLy
                   19 10",2021-10-10T08:27:32Z,0,0
AndreaLuise Candido,"here is no woman who has girl given 
namen 
 Maria       TheresiA my
                                 2nd    daughTer 
    has girl  namen JacQueline 
                             Therese 

   born 8. Mai 1994 

on ThaT Day
war
was
over year 19 45 fourTyfife",2021-10-10T08:23:34Z,0,0
Janeen Mayme,"The greedy pie weekly expand because quartz karunagappally fix past a foolish geese. warm, phobic song",2021-10-09T22:04:17Z,0,0
Ray Rodriguez,New fnaf,2021-10-09T06:59:00Z,0,0
Andy Grice,"Crapa cola, unbalanced of sugar,salt and lemon juice. Drinking sugar syrup.",2021-10-07T20:42:43Z,0,1
Solaire,That's not all it is. They're trying to get people to drink black goo,2021-10-12T06:31:16Z,0,
Prince Kumar,God bless you🙏 💐💐💐💐💐🙏...,2021-10-06T07:31:11Z,1,0
Jeremy Gadsden,"The general young socialist leaning in me is seething at what this company had done for the globe, but at the same time the considered investor in me cant help but admire the pivot this company is doing to stay on top and just how good the CEO is at what he does.",2021-10-05T07:21:28Z,0,0
huck boyd,To bad I’m to white to drink coke,2021-10-04T09:37:21Z,0,0
Mystery Meat,Nothing to do with America being #1 in diabetes and obesity?  Couldn't have done it without Coke.,2021-10-03T04:38:58Z,0,0
Oursociety7@gmail.com,Pepsi is better,2021-10-03T01:46:49Z,1,1
Dvd,Pepsi is better,2021-10-04T19:20:25Z,0,
Amber Spirit,South American farmers are using Coke for pesticides  and it's very effective and cheap compared to some branded pesticides,2021-10-01T19:28:24Z,0,0
Cav.,Losing money to buy trash 🤣,2021-09-29T19:16:56Z,0,0
Cav.,"50 % Sugar and a lot of unnecessary unrecyclable plastic 🤔 Great
Oh and don't forget their lobbying + misleading Ads (Greenwashing)",2021-09-29T19:15:43Z,0,0
Vignesh RB,"Use less plastic, cut more trees😶👏",2021-09-29T18:09:25Z,0,0
Ashish Purwal,हर हर महादेव 🙏🇮🇳,2021-09-27T08:58:35Z,0,0
dohmin konoha,It’s funny to find bottled green tea sold by Coca-Cola company Japan.,2021-09-26T04:08:57Z,0,0
J Mc,New Coke Zero sucks.,2021-09-24T22:35:24Z,0,0
macchiato xtra,from the company that said “be less white” …… boycott,2021-09-22T18:16:20Z,1,0
Radosław` Czerwiński,I'm more interested when Coca-Cola will be dominating cleaning plastic bottles from oceans?,2021-09-18T19:18:27Z,0,0
Surya Kasibhatla,You missed Maaza in India,2021-09-17T11:17:02Z,0,0
The Emperor ,I’m addictive to coke 😏,2021-09-17T04:10:43Z,0,0
Collin,The logo used to say Coca~Cola.  Mandela Effect,2021-09-16T14:18:54Z,0,0
Godzilla2000orbit,"Cristiano Ronaldo: drink water!
Coca-cola: *prepares to make a soccer player parody ad*",2021-09-14T17:55:50Z,0,0
